"Recording","Timestamp","Species Text","Calls [#]","Mean Peak Frequency [kHz]","Mean Max Frequency [kHz]","Mean Min Frequency [kHz]","Mean Call Lenght [ms]","Mean Call Distance [ms]","Temperature [°C]","Latitude [WGS84]","Longitude [WGS84]","Length [s]"
"24910409","10/06/2018 02:53:25","Pipistrellus pygmaeus","3","55.8","61.4","54.4","7.0","129","14.0","50.516615","-4.165898","1.50"
"24910410","10/06/2018 02:53:29","Pipistrellus pygmaeus","2","60.6","68.1","59.8","2.9","110","14.0","50.516583","-4.165862","1.49"
"24910411","10/06/2018 02:53:34","Pipistrellus pygmaeus","7","55.7","60.1","54.1","7.0","80","14.0","50.516583","-4.165862","2.22"
"24910412","10/06/2018 02:53:50","Pipistrellus pygmaeus","8","56.0","60.3","55.0","3.0","80","14.0","50.516605","-4.165880","1.92"
"24910413","10/06/2018 02:53:53","Pipistrellus pygmaeus","6","56.6","60.4","55.3","2.0","170","14.0","50.516605","-4.165880","1.50"
"24910414","10/06/2018 02:53:56","Pipistrellus pygmaeus","3","58.6","62.4","56.7","2.6","321","14.0","50.516605","-4.165880","1.50"
"24910415","10/06/2018 02:54:01","Pipistrellus pygmaeus","9","56.7","62.5","55.4","3.0","80","14.0","50.516633","-4.165853","2.31"
"24910416","10/06/2018 02:54:17","Pipistrellus pygmaeus","3","55.9","60.6","54.9","3.0","118","14.0","50.516632","-4.165865","1.50"
"24910417","10/06/2018 02:54:22","Pipistrellus pygmaeus","5","56.0","61.5","55.1","5.0","80","14.0","50.516632","-4.165865","1.58"
"24910418","10/06/2018 02:54:30","Pipistrellus pygmaeus","4","56.7","61.0","55.6","4.8","149","14.0","50.516650","-4.165847","1.50"
"24910419","10/06/2018 02:54:36","Pipistrellus pygmaeus","5","56.5","64.0","55.2","5.8","70","14.0","50.516668","-4.165813","1.70"
"24910420","10/06/2018 02:54:38","Pipistrellus pygmaeus","6","56.4","62.1","55.4","6.1","159","14.0","50.516668","-4.165813","2.06"
"24910421","10/06/2018 02:54:47","Pipistrellus pygmaeus","4","56.4","60.7","55.1","5.0","211","14.0","50.516695","-4.165798","1.79"
"24910422","10/06/2018 02:54:56","Pipistrellus pygmaeus","6","55.6","59.2","54.1","5.0","254","14.0","50.516695","-4.165798","1.50"
"24910423","10/06/2018 02:55:01","Pipistrellus pygmaeus","2","56.3","61.2","54.0","8.2","85","14.0","50.516673","-4.165758","1.50"
"24910424","10/06/2018 02:55:10","Pipistrellus pygmaeus","11","57.8","61.7","56.5","1.0","90","14.0","50.516677","-4.165745","2.08"
"24910425","10/06/2018 02:55:15","Pipistrellus pygmaeus","4","47.7","50.7","46.2","4.9","186","14.0","50.516677","-4.165745","1.50"
"24910426","10/06/2018 02:55:28","Pipistrellus pygmaeus","4","57.7","65.4","55.5","5.0","70","14.0","50.516680","-4.165760","1.77"
"24910427","10/06/2018 02:55:40","Pipistrellus pygmaeus","8","57.3","63.5","56.2","1.0","90","14.0","50.516680","-4.165762","2.46"
"24910428","10/06/2018 02:55:47","Pipistrellus pygmaeus","10","56.1","59.7","54.9","5.0","90","14.0","50.516680","-4.165762","3.23"
"24910429","10/06/2018 02:55:55","Pipistrellus pygmaeus","4","57.6","66.3","55.8","7.0","306","14.0","50.516650","-4.165773","1.49"
"24910430","10/06/2018 02:55:59","Rhinolophus hipposideros","7","56.0","82.0","77.5","21.8","90","14.0","50.516650","-4.165773","1.60"
"24910431","10/06/2018 02:56:02","Pipistrellus pygmaeus","3","56.3","63.3","54.7","6.6","391","14.0","50.516650","-4.165773","1.49"
"24910432","10/06/2018 02:56:08","Pipistrellus pipistrellus","12","51.2","56.1","49.8","5.0","100","14.0","50.516675","-4.165797","1.95"
"24910433","10/06/2018 02:56:15","Pipistrellus pygmaeus","3","56.5","61.6","55.2","5.7","217","14.0","50.516662","-4.165867","1.50"
"24910434","10/06/2018 02:56:19","Pipistrellus pygmaeus","9","56.0","62.2","55.0","5.0","80","14.0","50.516662","-4.165867","1.74"
"24910435","10/06/2018 02:56:22","Pipistrellus pygmaeus","3","57.0","63.2","55.5","4.6","201","14.0","50.516662","-4.165867","1.49"
"24910436","10/06/2018 02:56:30","Pipistrellus pygmaeus","6","56.1","57.9","54.3","2.0","258","14.0","50.516688","-4.165928","1.60"
"24910437","10/06/2018 02:56:34","Pipistrellus pygmaeus","5","56.9","61.2","54.9","5.2","80","14.0","50.516688","-4.165928","1.65"
"24910438","10/06/2018 02:57:29","Pipistrellus pygmaeus","3","55.9","60.9","54.5","4.4","451","14.0","50.516665","-4.165845","1.50"
"24910439","10/06/2018 02:57:33","Pipistrellus pygmaeus","2","55.8","62.7","54.9","3.3","71","14.0","50.516665","-4.165845","1.49"
"24910440","10/06/2018 02:57:35","Pipistrellus pygmaeus","3","56.6","62.2","55.3","5.0","79","14.0","50.516665","-4.165845","1.50"
"24910441","10/06/2018 02:57:42","Pipistrellus pygmaeus","2","55.7","58.9","54.6","9.8","952","14.0","50.516638","-4.165853","1.50"
"24910442","10/06/2018 02:57:47","Pipistrellus pygmaeus","8","56.4","60.7","55.1","4.0","80","14.0","50.516638","-4.165853","1.50"
"24910443","10/06/2018 02:57:55","Pipistrellus pygmaeus","2","56.9","62.7","55.7","3.6","723","14.0","50.516650","-4.165793","1.50"
"24910444","10/06/2018 02:57:59","Pipistrellus pygmaeus","8","56.8","61.4","55.6","2.0","90","14.0","50.516650","-4.165793","1.50"
"24910445","10/06/2018 02:58:02","Pipistrellus pygmaeus","7","56.5","62.1","55.1","4.0","230","14.0","50.516700","-4.165790","1.82"
"24910446","10/06/2018 02:58:10","Pipistrellus pygmaeus","4","47.8","54.2","46.4","3.0","80","14.0","50.516700","-4.165790","1.66"
"24910447","10/06/2018 02:58:38","Pipistrellus pygmaeus","9","57.8","66.7","55.8","4.0","50","14.0","50.516735","-4.165790","2.28"
"24910448","10/06/2018 02:58:52","Pipistrellus pygmaeus","9","56.6","62.3","54.9","3.0","80","14.0","50.516747","-4.165803","1.82"
"24910449","10/06/2018 02:58:57","Pipistrellus pygmaeus","6","57.0","63.8","55.7","5.0","70","14.0","50.516723","-4.165835","1.78"
"24910450","10/06/2018 02:59:01","Pipistrellus pygmaeus","2","55.4","57.4","54.8","3.6","914","14.0","50.516723","-4.165835","1.49"
"24910451","10/06/2018 02:59:11","Pipistrellus pygmaeus","8","56.5","62.6","55.4","4.0","80","14.0","50.516680","-4.165862","3.27"
"24910452","10/06/2018 02:59:16","Pipistrellus pygmaeus","5","56.5","66.2","55.2","5.9","80","14.0","50.516680","-4.165862","1.83"
"24910453","10/06/2018 02:59:19","Pipistrellus pygmaeus","4","57.3","62.6","56.0","4.0","235","14.0","50.516678","-4.165843","1.49"
"24910454","10/06/2018 02:59:31","Pipistrellus pygmaeus","3","56.1","61.6","55.0","7.0","174","14.0","50.516698","-4.165905","1.49"
"24910455","10/06/2018 02:59:36","Pipistrellus pygmaeus","9","56.6","63.1","55.0","3.0","80","14.0","50.516698","-4.165905","1.93"
"24910456","10/06/2018 02:59:40","Pipistrellus pygmaeus","2","58.4","64.8","56.6","3.9","241","14.0","50.516702","-4.165865","1.50"
"24910457","10/06/2018 02:59:46","Pipistrellus pygmaeus","9","56.3","61.3","54.9","3.0","80","14.0","50.516702","-4.165865","2.78"
"24910458","10/06/2018 02:59:51","Pipistrellus pygmaeus","5","57.4","61.6","55.8","5.0","191","14.0","50.516698","-4.165763","1.49"
"24910459","10/06/2018 02:59:55","Pipistrellus pygmaeus","10","56.2","64.1","55.2","4.0","80","14.0","50.516698","-4.165763","2.48"
"24910460","10/06/2018 03:00:02","Pipistrellus pygmaeus","2","57.2","60.4","55.5","5.9","617","14.0","50.516665","-4.165785","1.49"
"24910461","10/06/2018 03:00:06","Pipistrellus pygmaeus","3","55.8","60.4","54.2","6.3","200","14.0","50.516665","-4.165785","1.57"
"24910462","10/06/2018 03:00:10","Pipistrellus pygmaeus","6","56.0","53.7","48.5","3.0","178","14.0","50.516665","-4.165785","1.50"
"24910463","10/06/2018 03:00:24","Pipistrellus pygmaeus","2","56.2","63.8","55.1","6.2","214","14.0","50.516655","-4.165928","1.50"
"24910464","10/06/2018 03:00:30","Pipistrellus pygmaeus","9","55.5","60.5","54.3","5.0","70","14.0","50.516655","-4.165928","1.50"
"24910465","10/06/2018 03:00:36","Pipistrellus pygmaeus","7","57.4","62.0","55.7","3.0","90","14.0","50.516683","-4.165967","1.49"
"24910466","10/06/2018 03:00:48","Pipistrellus pygmaeus","9","56.1","65.2","55.2","5.0","80","14.0","50.516723","-4.165955","1.49"
"24910467","10/06/2018 03:00:53","Pipistrellus pygmaeus","7","57.0","62.6","55.2","9.0","70","14.0","50.516723","-4.165955","1.64"
"24910468","10/06/2018 03:00:55","Pipistrellus pygmaeus","3","55.9","62.0","54.6","5.9","75","14.0","50.516723","-4.165955","1.50"
"24910469","10/06/2018 03:00:58","Pipistrellus pygmaeus","9","58.3","63.7","56.9","5.0","50","14.0","50.516753","-4.165908","1.50"
"24910470","10/06/2018 03:01:01","Pipistrellus pygmaeus","7","55.4","61.4","54.2","6.0","90","14.0","50.516753","-4.165908","1.83"
"24910471","10/06/2018 03:01:06","Pipistrellus pygmaeus","8","56.3","60.8","55.2","5.0","70","14.0","50.516753","-4.165908","1.50"
"24910472","10/06/2018 03:01:09","Pipistrellus pygmaeus","4","56.5","65.6","55.4","8.0","164","14.0","50.516772","-4.165918","1.50"
"24910473","10/06/2018 03:01:12","Pipistrellus pygmaeus","5","57.1","62.9","55.7","6.0","187","14.0","50.516772","-4.165918","1.50"
"24910474","10/06/2018 03:01:14","Pipistrellus pygmaeus","11","56.3","60.6","54.8","9.0","90","14.0","50.516772","-4.165918","2.54"
"24910475","10/06/2018 03:01:19","Pipistrellus pygmaeus","5","58.0","62.0","56.0","3.1","181","14.0","50.516773","-4.165927","1.49"
"24910476","10/06/2018 03:01:22","Pipistrellus pygmaeus","7","56.3","61.3","55.2","3.0","160","14.0","50.516773","-4.165927","2.48"
"24910477","10/06/2018 03:01:30","Pipistrellus pygmaeus","7","55.8","59.1","54.9","7.0","90","14.0","50.516763","-4.165970","1.50"
"24910478","10/06/2018 03:01:33","Pipistrellus pygmaeus","4","55.8","61.0","54.7","3.0","223","14.0","50.516763","-4.165970","1.50"
"24910479","10/06/2018 03:01:44","Pipistrellus pygmaeus","9","55.9","60.7","54.7","7.0","80","14.0","50.516745","-4.166008","2.42"
"24910480","10/06/2018 03:01:57","Pipistrellus pygmaeus","11","56.4","61.7","55.5","5.0","80","14.0","50.516730","-4.166008","1.58"
"24910481","10/06/2018 03:02:05","Pipistrellus pygmaeus","9","55.9","61.4","54.9","5.0","70","14.0","50.516738","-4.165968","1.74"
"24910482","10/06/2018 03:02:09","Pipistrellus pygmaeus","6","56.8","61.7","55.6","3.0","212","14.0","50.516738","-4.165968","1.75"
"24910483","10/06/2018 03:02:13","Pipistrellus pygmaeus","7","55.8","61.9","54.6","4.0","70","14.0","50.516738","-4.165968","2.00"
"24910484","10/06/2018 03:02:19","Pipistrellus pygmaeus","10","55.9","59.2","54.4","5.0","90","14.0","50.516728","-4.165940","3.11"
"24910485","10/06/2018 03:02:25","Pipistrellus pygmaeus","11","56.2","62.5","55.1","5.0","90","14.0","50.516728","-4.165940","2.68"
"24910486","10/06/2018 03:02:29","Pipistrellus pygmaeus","3","56.2","64.3","55.0","3.0","202","14.0","50.516740","-4.165847","1.50"
"24910487","10/06/2018 03:02:36","Pipistrellus pygmaeus","6","57.1","63.8","55.6","2.0","165","14.0","50.516740","-4.165847","1.50"
"24910488","10/06/2018 03:02:45","Pipistrellus pygmaeus","10","57.6","62.0","56.3","4.0","90","14.0","50.516693","-4.165835","1.49"
"24910489","10/06/2018 03:02:50","Pipistrellus pygmaeus","9","56.0","61.0","54.8","3.0","230","14.0","50.516693","-4.165835","2.23"
"24910490","10/06/2018 03:02:57","Pipistrellus pygmaeus","5","55.8","61.2","54.7","3.0","126","14.0","50.516638","-4.165850","1.57"
"24910491","10/06/2018 03:03:00","Pipistrellus pygmaeus","5","56.0","60.5","54.6","6.0","80","14.0","50.516638","-4.165850","1.49"
"24910492","10/06/2018 03:03:03","Pipistrellus pygmaeus","8","56.0","62.9","54.7","4.0","80","14.0","50.516638","-4.165850","1.73"
"24910493","10/06/2018 03:03:05","Pipistrellus pygmaeus","5","56.0","61.3","54.5","5.0","80","14.0","50.516623","-4.165860","1.92"
"24910494","10/06/2018 03:03:22","Pipistrellus pygmaeus","4","56.2","61.4","55.0","3.0","156","14.0","50.516637","-4.165900","1.50"
"24910495","10/06/2018 03:03:24","Pipistrellus pygmaeus","7","56.3","60.8","55.0","3.0","70","14.0","50.516637","-4.165900","1.49"
"24910496","10/06/2018 03:03:31","Pipistrellus pygmaeus","12","56.8","63.5","55.6","3.0","70","14.0","50.516647","-4.165872","2.24"
"24910497","10/06/2018 03:03:40","Pipistrellus pygmaeus","3","55.5","60.9","54.6","6.3","374","14.0","50.516658","-4.165830","1.50"
"24910498","10/06/2018 03:03:46","Pipistrellus pygmaeus","7","55.6","61.3","54.2","5.0","160","14.0","50.516658","-4.165830","1.49"
"24910499","10/06/2018 03:03:52","Pipistrellus pygmaeus","10","56.6","62.7","55.4","1.0","80","14.0","50.516703","-4.165777","1.58"
"24910500","10/06/2018 03:04:04","Pipistrellus pygmaeus","6","57.0","63.8","55.8","5.0","70","14.0","50.516735","-4.165777","1.50"
"24910501","10/06/2018 03:04:07","Pipistrellus pygmaeus","6","57.1","61.5","55.3","7.0","70","14.0","50.516735","-4.165777","1.71"
"24910502","10/06/2018 03:04:14","Pipistrellus pygmaeus","3","55.9","60.3","54.8","4.2","437","14.0","50.516720","-4.165812","1.50"
"24910503","10/06/2018 03:04:17","Pipistrellus pygmaeus","4","57.1","62.4","55.7","5.7","139","14.0","50.516720","-4.165812","1.49"
"24910504","10/06/2018 03:04:20","Pipistrellus pygmaeus","4","56.5","60.5","55.4","4.6","164","14.0","50.516720","-4.165812","1.50"
"24910505","10/06/2018 03:04:24","Pipistrellus pygmaeus","9","56.9","60.9","55.4","3.0","80","14.0","50.516705","-4.165835","1.94"
"24910506","10/06/2018 03:04:37","Pipistrellus pygmaeus","6","56.3","62.6","55.2","4.0","80","14.0","50.516725","-4.165765","2.00"
"24910507","10/06/2018 03:04:40","Pipistrellus pygmaeus","4","56.0","61.8","54.6","7.0","132","14.0","50.516725","-4.165765","1.50"
"24910508","10/06/2018 03:04:43","Pipistrellus pygmaeus","10","56.0","61.7","54.7","4.0","80","14.0","50.516725","-4.165765","2.25"
"24910509","10/06/2018 03:04:50","Pipistrellus pygmaeus","10","56.1","60.9","54.7","5.0","170","14.0","50.516733","-4.165727","2.49"
"24910510","10/06/2018 03:04:54","Pipistrellus pygmaeus","2","55.7","58.1","54.3","3.6","321","14.0","50.516733","-4.165727","1.50"
"24910511","10/06/2018 03:04:58","Pipistrellus pygmaeus","4","55.9","61.8","54.5","8.2","173","14.0","50.516733","-4.165727","1.50"
"24910512","10/06/2018 03:05:00","Pipistrellus pygmaeus","3","58.0","65.5","55.8","5.0","280","14.0","50.516742","-4.165770","1.50"
"24910513","10/06/2018 03:05:04","Pipistrellus pygmaeus","6","56.0","60.8","54.7","2.0","251","14.0","50.516742","-4.165770","1.58"
"24910514","10/06/2018 03:05:07","Pipistrellus pygmaeus","7","56.3","59.6","55.0","1.0","80","14.0","50.516742","-4.165770","1.50"
"24910515","10/06/2018 03:05:25","Pipistrellus pygmaeus","9","57.0","64.6","55.6","1.0","80","14.0","50.516743","-4.165745","2.86"
"24910516","10/06/2018 03:05:33","Pipistrellus pygmaeus","6","55.6","62.9","54.5","9.1","80","14.0","50.516750","-4.165723","1.87"
"24910517","10/06/2018 03:05:36","Pipistrellus pygmaeus","8","56.5","61.1","55.0","1.0","80","14.0","50.516750","-4.165723","1.98"
"24910518","10/06/2018 03:05:41","Pipistrellus pygmaeus","4","55.5","60.6","54.8","4.6","136","14.0","50.516750","-4.165723","1.50"
"24910519","10/06/2018 03:05:46","Pipistrellus pygmaeus","6","58.7","61.8","56.7","1.0","160","14.0","50.516748","-4.165688","1.50"
"24910520","10/06/2018 03:05:53","Pipistrellus pygmaeus","7","56.4","63.4","55.3","3.0","80","14.0","50.516748","-4.165688","2.39"
"24910521","10/06/2018 03:05:58","Pipistrellus pygmaeus","4","56.6","59.4","55.2","4.3","227","14.0","50.516748","-4.165660","1.49"
"24910522","10/06/2018 03:06:03","Pipistrellus pygmaeus","6","56.0","62.7","54.9","3.0","70","14.0","50.516748","-4.165660","1.49"
"24910523","10/06/2018 03:06:06","Pipistrellus pygmaeus","6","56.1","60.3","55.0","6.9","285","14.0","50.516748","-4.165660","1.99"
"24910524","10/06/2018 03:06:10","Pipistrellus pygmaeus","8","56.0","62.3","54.9","3.0","80","14.0","50.516758","-4.165685","1.50"
"24910525","10/06/2018 03:06:18","Pipistrellus pygmaeus","6","56.3","61.6","54.9","5.4","90","14.0","50.516758","-4.165685","1.99"
"24910526","10/06/2018 03:06:30","Pipistrellus pygmaeus","1","57.7","60.1","54.9","1.3","0","14.0","50.516755","-4.165708","1.49"
"24910527","10/06/2018 03:06:33","Pipistrellus pygmaeus","3","58.7","63.7","58.0","5.0","76","14.0","50.516722","-4.165683","1.58"
"24910528","10/06/2018 03:06:40","Pipistrellus pygmaeus","9","56.4","62.2","55.1","4.0","70","14.0","50.516722","-4.165683","1.86"
"24910529","10/06/2018 03:06:43","Pipistrellus pygmaeus","3","55.5","58.8","51.7","4.8","353","14.0","50.516720","-4.165690","1.50"
"24910530","10/06/2018 03:06:48","Pipistrellus pygmaeus","6","55.8","60.4","54.6","5.0","197","14.0","50.516720","-4.165690","1.50"
"24910531","10/06/2018 03:06:55","Pipistrellus pygmaeus","5","55.7","64.0","55.0","5.0","263","14.0","50.516727","-4.165745","1.80"
"24910532","10/06/2018 03:06:58","Pipistrellus pygmaeus","8","57.2","63.2","55.9","5.0","70","14.0","50.516727","-4.165745","1.91"
"24910533","10/06/2018 03:07:01","Pipistrellus pygmaeus","5","56.7","66.0","55.7","4.0","197","14.0","50.516727","-4.165745","1.90"
"24910534","10/06/2018 03:07:11","Pipistrellus pygmaeus","8","56.4","61.1","55.2","4.0","80","14.0","50.516740","-4.165752","1.50"
"24910535","10/06/2018 03:07:19","Pipistrellus pygmaeus","3","55.1","62.2","54.1","7.0","78","14.0","50.516733","-4.165748","1.49"
"24910536","10/06/2018 03:07:23","Pipistrellus pygmaeus","3","57.6","63.7","55.8","3.0","97","14.0","50.516733","-4.165748","1.50"
"24910537","10/06/2018 03:07:25","Pipistrellus pygmaeus","10","56.4","61.9","54.9","5.0","80","14.0","50.516733","-4.165748","1.50"
"24910538","10/06/2018 03:07:30","Pipistrellus pygmaeus","3","57.8","60.7","56.7","3.0","511","14.0","50.516735","-4.165697","1.50"
"24910539","10/06/2018 03:07:34","Pipistrellus pygmaeus","6","56.0","62.6","54.9","4.0","80","14.0","50.516735","-4.165697","1.50"
"24910540","10/06/2018 03:07:39","Pipistrellus pygmaeus","5","57.6","62.6","55.8","3.0","80","14.0","50.516753","-4.165670","2.11"
"24910541","10/06/2018 03:07:44","Pipistrellus pygmaeus","7","56.6","62.5","54.8","4.0","80","14.0","50.516753","-4.165670","2.50"
"24910542","10/06/2018 03:07:49","Pipistrellus pygmaeus","6","55.8","60.0","54.2","9.0","347","14.0","50.516753","-4.165670","2.28"
"24910543","10/06/2018 03:07:52","Pipistrellus pygmaeus","11","57.0","63.2","55.7","1.0","80","14.0","50.516773","-4.165647","2.22"
"24910544","10/06/2018 03:08:01","Pipistrellus pygmaeus","4","56.6","63.2","55.0","3.0","182","14.0","50.516773","-4.165647","1.49"
"24910545","10/06/2018 03:08:08","Pipistrellus pygmaeus","6","56.4","64.1","55.2","5.0","80","14.0","50.516785","-4.165662","1.67"
"24910546","10/06/2018 03:08:37","Pipistrellus pipistrellus","5","49.2","54.5","48.3","8.0","115","14.0","50.516773","-4.165712","1.58"
"24910547","10/06/2018 03:10:05","Pipistrellus pygmaeus","6","55.7","59.3","53.5","5.8","190","14.0","50.516792","-4.165863","1.50"
"24910548","10/06/2018 03:10:11","Pipistrellus pygmaeus","5","56.2","62.4","55.1","4.0","80","14.0","50.516792","-4.165863","2.16"
"24910549","10/06/2018 03:10:22","Pipistrellus pygmaeus","5","55.7","63.9","54.9","5.0","137","14.0","50.516770","-4.165962","1.50"
"24910550","10/06/2018 03:10:26","Pipistrellus pygmaeus","4","57.7","63.6","56.2","3.0","70","14.0","50.516770","-4.165962","1.74"
"24910551","10/06/2018 03:10:34","Pipistrellus pygmaeus","3","55.5","60.1","54.2","7.0","350","14.0","50.516787","-4.166347","1.50"
"24910552","10/06/2018 03:10:49","Pipistrellus pygmaeus","4","57.4","60.1","56.1","2.0","159","14.0","50.516785","-4.166645","1.50"
"24910553","10/06/2018 03:10:55","Pipistrellus pygmaeus","7","57.5","65.3","55.9","4.0","60","14.0","50.516660","-4.166803","1.50"
"24910554","10/06/2018 03:10:57","Pipistrellus pygmaeus","5","56.8","61.1","55.8","8.0","226","14.0","50.516660","-4.166803","1.50"
"24910555","10/06/2018 03:10:59","Pipistrellus pygmaeus","9","55.8","62.6","54.5","5.0","80","14.0","50.516660","-4.166803","1.50"
"24910556","10/06/2018 03:11:41","Pipistrellus pygmaeus","10","55.9","61.2","54.8","5.0","90","14.0","50.516758","-4.166022","2.01"
"24910557","10/06/2018 03:11:54","Pipistrellus pygmaeus","2","56.9","60.1","55.5","5.6","80","14.0","50.516750","-4.165847","1.50"
"24910558","10/06/2018 03:11:57","Pipistrellus pygmaeus","1","55.2","60.1","54.3","5.2","0","14.0","50.516748","-4.165785","1.50"
"24910559","10/06/2018 03:12:02","Pipistrellus pygmaeus","8","56.8","60.8","54.7","10.0","90","14.0","50.516748","-4.165785","1.49"
"24910560","10/06/2018 03:12:04","Pipistrellus pygmaeus","7","57.2","59.8","55.5","1.0","90","14.0","50.516748","-4.165785","1.50"
"24910561","10/06/2018 03:12:08","Pipistrellus pygmaeus","2","58.4","66.2","56.5","5.2","88","14.0","50.516750","-4.165802","1.49"
"24910562","10/06/2018 03:12:18","Pipistrellus pygmaeus","6","56.5","63.5","55.1","4.0","243","14.0","50.516762","-4.165833","1.84"
"24910563","10/06/2018 03:12:22","Pipistrellus pygmaeus","8","57.6","62.4","55.9","2.0","80","14.0","50.516762","-4.165833","2.08"
"24910564","10/06/2018 03:12:25","Pipistrellus pygmaeus","2","56.0","59.7","54.9","4.9","469","14.0","50.516762","-4.165833","1.50"
"24910565","10/06/2018 03:12:32","Pipistrellus pygmaeus","2","56.9","61.0","55.8","6.6","88","14.0","50.516763","-4.165863","1.50"
"24910566","10/06/2018 03:12:35","Pipistrellus pygmaeus","3","56.5","60.4","54.8","5.2","229","14.0","50.516763","-4.165863","1.50"
"24910567","10/06/2018 03:12:38","Pipistrellus pygmaeus","4","57.8","62.6","55.8","1.0","235","14.0","50.516763","-4.165863","1.50"
"24910568","10/06/2018 03:12:42","Pipistrellus pygmaeus","7","56.8","61.4","55.6","3.0","90","14.0","50.516762","-4.165888","1.50"
"24910569","10/06/2018 03:12:48","Pipistrellus pygmaeus","7","56.5","62.3","55.5","3.0","80","14.0","50.516762","-4.165888","1.73"
"24910570","10/06/2018 03:13:00","Pipistrellus pygmaeus","3","55.7","58.8","54.5","3.5","443","14.0","50.516800","-4.165857","1.49"
"24910571","10/06/2018 03:13:05","Pipistrellus pygmaeus","3","55.6","57.2","54.9","2.0","787","14.0","50.516737","-4.165845","1.59"
"24910572","10/06/2018 03:13:13","Pipistrellus pygmaeus","2","55.7","60.1","54.8","5.0","853","14.0","50.516737","-4.165845","1.50"
"24910573","10/06/2018 03:13:20","Pipistrellus pygmaeus","10","56.5","63.3","55.4","6.0","70","14.0","50.516715","-4.165810","1.79"
"24910574","10/06/2018 03:13:28","Pipistrellus pygmaeus","5","55.8","59.8","54.4","5.0","133","14.0","50.516697","-4.165823","1.50"
"24910575","10/06/2018 03:13:39","Pipistrellus pygmaeus","3","56.2","60.4","54.9","4.8","361","14.0","50.516700","-4.165810","1.50"
"24910576","10/06/2018 03:13:49","Pipistrellus pygmaeus","5","56.5","62.6","55.4","4.0","70","14.0","50.516723","-4.165812","1.77"
"24910577","10/06/2018 03:14:11","Pipistrellus pygmaeus","3","19.7","25.7","18.1","3.0","162","14.0","50.516712","-4.165807","1.51"
"24910578","10/06/2018 03:14:16","Pipistrellus pygmaeus","7","56.8","60.8","55.4","5.0","207","14.0","50.516712","-4.165807","2.12"
"24910579","10/06/2018 03:14:39","Pipistrellus pygmaeus","3","56.1","60.2","54.9","6.0","362","14.0","50.516725","-4.165833","1.49"
"24910580","10/06/2018 03:14:55","Pipistrellus pygmaeus","6","55.1","57.7","54.1","8.6","90","14.0","50.516757","-4.165818","1.68"
"24910581","10/06/2018 03:17:31","Pipistrellus pipistrellus","6","50.4","55.5","48.2","4.8","180","14.0","50.516747","-4.166105","1.50"
"24910582","10/06/2018 03:18:00","Pipistrellus pygmaeus","3","57.3","63.4","55.4","4.0","666","14.0","50.516728","-4.166210","1.50"
"24910583","10/06/2018 03:19:44","Pipistrellus pygmaeus","6","57.7","63.1","55.9","3.0","70","14.0","50.516750","-4.166128","2.02"
"24910584","10/06/2018 03:20:16","Pipistrellus pygmaeus","5","56.3","61.6","55.2","4.0","80","14.0","50.516823","-4.165920","1.58"
"24910585","10/06/2018 03:20:20","Pipistrellus pygmaeus","5","56.6","60.4","55.7","6.8","309","14.0","50.516823","-4.165920","1.49"
"24910586","10/06/2018 03:20:28","Pipistrellus pygmaeus","7","57.1","63.8","55.8","4.0","80","14.0","50.516815","-4.165982","1.65"
"24910587","10/06/2018 03:20:31","Pipistrellus pygmaeus","4","57.0","60.4","55.2","5.2","166","14.0","50.516815","-4.165982","1.50"
"24910588","10/06/2018 03:20:35","Pipistrellus pygmaeus","1","56.2","61.6","55.2","4.6","0","14.0","50.516815","-4.165982","1.49"
"24910589","10/06/2018 03:20:58","Pipistrellus pygmaeus","10","57.2","62.2","55.9","4.0","70","14.0","50.516683","-4.165993","2.81"
"24910590","10/06/2018 03:21:05","Pipistrellus pygmaeus","4","58.6","64.7","56.9","3.0","245","14.0","50.516683","-4.165993","1.50"
"24910591","10/06/2018 03:21:12","Pipistrellus pygmaeus","8","57.1","62.3","56.2","5.0","80","14.0","50.516660","-4.166018","1.50"
"24910592","10/06/2018 03:21:30","Pipistrellus pygmaeus","3","56.2","61.2","54.9","5.2","111","14.0","50.516623","-4.165960","1.49"
"24910593","10/06/2018 03:22:09","Pipistrellus pygmaeus","6","94.6","97.5","93.0","11.6","202","14.0","50.516645","-4.165813","1.68"
"24910594","10/06/2018 03:22:19","Rhinolophus hipposideros","9","112.3","113.5","110.9","21.8","80","14.0","50.516475","-4.166067","1.51"
"24910595","10/06/2018 03:23:15","Rhinolophus hipposideros","7","113.3","114.0","112.0","10.0","165","14.0","50.516645","-4.166348","1.50"
"24910596","10/06/2018 03:23:22","Rhinolophus hipposideros","5","113.1","114.0","112.1","14.3","70","14.0","50.516645","-4.166348","1.50"
"24910597","10/06/2018 03:23:29","Rhinolophus hipposideros","17","112.6","113.5","111.4","20.0","90","14.0","50.516548","-4.166435","2.05"
"24910598","10/06/2018 03:23:53","Pipistrellus pygmaeus","5","57.4","61.2","56.1","4.0","90","14.0","50.516658","-4.166145","1.50"
"24910599","10/06/2018 03:23:56","Pipistrellus pygmaeus","6","57.6","63.5","56.3","5.0","80","14.0","50.516658","-4.166145","1.50"
"24910600","10/06/2018 03:25:02","Pipistrellus pygmaeus","7","57.5","62.4","56.0","2.0","80","14.0","50.516765","-4.165873","2.21"
